                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.97631,                 1.0758,                 1.4641,                0.55055,                0.30377,                0.29869,                0.14206,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     80,                0.97351,                 1.0739,                 1.4546,                0.57508,                0.31491,                0.29984,                0.14296,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                     81,                0.95889,                 1.0671,                 1.4575,                0.53458,                0.29863,                0.27207,                0.12988,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     82,                0.97017,                 1.0348,                 1.4534,                0.55644,                0.29882,                0.29023,                0.13507,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                     83,                0.93594,                 1.0201,                 1.4386,                0.45436,                0.30243,                0.29547,                0.14124,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     84,                0.95562,                 1.0283,                 1.4422,                0.59063,                0.28592,                0.30082,                0.14616,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                     85,                0.96887,                 1.0497,                 1.4524,                0.54095,                0.27758,                0.28758,                0.13877,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     86,                0.93294,                 1.0014,                 1.4283,                0.54411,                0.27781,                0.26791,                0.13181,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     87,                0.93538,                 1.0161,                 1.4325,                0.57471,                0.30716,                0.29631,                0.14111,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     88,                0.93333,                 1.0024,                 1.4218,                0.46134,                0.31625,                 0.2907,                0.13818,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                     89,                0.93079,                0.99825,                  1.425,                0.54178,                 0.3207,                0.28953,                0.13754,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     90,                0.87005,                0.86641,                  1.448,                 0.5513,                0.30147,                0.29587,                0.14099,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                     91,                0.84284,                0.81758,                 1.4264,                0.56616,                0.29737,                0.28431,                0.13908,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     92,                0.80338,                 0.7545,                 1.3953,                0.62399,                 0.2772,                0.30561,                0.14588,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                     93,                0.81981,                0.75492,                 1.4089,                0.69209,                0.26368,                 0.2964,                0.14936,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     94,                0.79188,                0.72842,                 1.3746,                0.55119,                0.29839,                  0.291,                0.14544,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                     95,                0.77828,                0.71491,                 1.3677,                0.59326,                0.28572,                0.29341,                0.14509,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     96,                0.77112,                0.71203,                 1.3749,                0.59634,                0.28747,                0.29247,                0.14662,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     97,                  0.761,                0.69798,                 1.3521,                0.55479,                0.30046,                0.29441,                0.14844,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                     98,                0.75762,                0.68924,                 1.3486,                0.57586,                 0.2862,                0.29465,                0.14684,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                     99,                 0.7386,                0.68208,                 1.3313,                0.55763,                0.29028,                0.29041,                 0.1432,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
